DEALERSHIPID,VIN,STOCKNUMBER,YEAR,MAKE,MODEL,TRIM,INVENTORYTYPE,DRIVETYPE,TRANSMISSIONTYPE,ODOMETER,EXTCOLOUR,INTCOLOUR,LISTPRICE,DESCRIPTION,OPTIONS,PHOTOS
285,3N1AB7APXHL687282,EB7282,2017,Nissan,Sentra,S 6MT,Used,FWD,Automatic,145946,Gray,Black,13900,,Anti-lock Brakes / ABS;Child Safety Locks;Cruise Control;Driver Side Airbag;Passenger Front Airbag Off/On;Power Adjustable Pedals;Power Door Locks;Power Windows;Rear Defrost;Remote / Keyless Entry;Steering Wheel Controls;Telescopic Steering Wheel;Tilt Steering Wheel;Traction Control;Trip Computer;Vehicle Stability Management VSM;,"https://dealerpull.blob.core.windows.net/photos-287059/img_133404999914117023.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999915157682.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999926341605.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999916096581.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999924569764.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999913073846.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999911847819.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999923657255.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999931320472.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999925446026.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999927160724.jpg,https://dealerpull.blob.core.windows.net/photos-287059/img_133404999930438180.jpg"
285,4T1BF1FK4FU934892,EB4892,2015,Toyota,Camry,xle,Used,FWD,Automatic,138223,BLUE,,15900,,Air Conditioning A/C;Alloy / Aluminum Wheels;Anti-lock Brakes / ABS;Assisted Braking;Child Safety Locks;Cruise Control;Daytime Running Lights;Driver Side Airbag;Lumbar Seat Adjustment;Passenger Front Airbag Off/On;Power Door Locks;Power Windows;Rear Defrost;Smart / Active Cornering Headlights;Spoiler;Steering Wheel Controls;Telescopic Steering Wheel;Tilt Steering Wheel;Tilt Steering Wheel;Traction Control;Trip Computer;Vehicle Stability Management VSM,"https://dealerpull.blob.core.windows.net/photos-326318/img_133617616267824482.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616289169771.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616268995504.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616252308542.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616286480312.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616287943129.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616249167043.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616266722821.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616248044654.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616246493689.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616251210834.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616270053238.jpg,https://dealerpull.blob.core.windows.net/photos-326318/img_133617616271041330.jpg"
285,JF2SJHDC5FH462400,EB2400,2015,Subaru,Forester,2.0XT Premium,Used,AWD,Automatic,135823,BLACK,,14900,,Air Conditioning A/C;Alloy / Aluminum Wheels;Anti-lock Brakes / ABS;Assisted Braking;AWD;CD Player;Child Safety Locks;Cruise Control;Daytime Running Lights;Driver Side Airbag;Heated Front Seats;Lumbar Seat Adjustment;Passenger Front Airbag Off/On;Power Door Locks;Power Windows;Rear Defrost;Rear Window Wiper;Remote / Keyless Entry;Smart / Active Cornering Headlights;Spoiler;Steering Wheel Controls;Sunroof;Sunroof;Telescopic Steering Wheel;Theft Deterrent/Alarm;Tilt Steering Wheel;Tilt Steering Wheel;Traction Control;Trip Computer;Vehicle Stability Management VSM,"https://dealerpull.blob.core.windows.net/photos-326637/img_133617611491177332.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611530686749.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611489091671.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611492400672.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611535582787.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611533359228.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611509718230.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611512056755.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611513608329.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611534470132.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611487622097.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611544649367.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611508559336.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611493839108.jpg,https://dealerpull.blob.core.windows.net/photos-326637/img_133617611507467324.jpg"
285,3KPA35AB0JE019407,EB9407,2018,Kia,Rio5,EX,Used,FWD,Automatic,112089,SILVER,,17900,,,"https://dealerpull.blob.core.windows.net/photos-333214/img_133647011896524808.jpg,https://dealerpull.blob.core.windows.net/photos-333214/img_133647011919693019.jpg,https://dealerpull.blob.core.windows.net/photos-333214/img_133647011916614665.jpg,https://dealerpull.blob.core.windows.net/photos-333214/img_133647011924342918.jpg,https://dealerpull.blob.core.windows.net/photos-333214/img_133647011915280188.jpg,https://dealerpull.blob.core.windows.net/photos-333214/img_133647011898537465.jpg,https://dealerpull.blob.core.windows.net/photos-333214/img_133647011899889713.jpg,https://dealerpull.blob.core.windows.net/photos-333214/img_133647011901053713.jpg,https://dealerpull.blob.core.windows.net/photos-333214/img_133647011902054334.jpg,https://dealerpull.blob.core.windows.net/photos-333214/img_133647011917678825.jpg,https://dealerpull.blob.core.windows.net/photos-333214/img_133647011918670309.jpg"
285,1FMCU9HD6JUA25827,EB5827,2018,Ford,Escape,SEL 4WD,Used,4X4,Automatic,150753,GRAY,,17900,,Power Windows;Alloy / Aluminum Wheels;Fog Lights;Lumbar Seat Adjustment;Heated Front Seats;Telescopic Steering Wheel;Cruise Control;Passenger Front Airbag Off/On;Driver Side Airbag;Anti-lock Brakes / ABS;Theft Deterrent/Alarm;Child Safety Locks;,"https://dealerpull.blob.core.windows.net/photos-333222/img_133736836567661185.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133736836572210919.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133736836638770168.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133736836570313042.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133736836636921152.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133736836635211374.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133647009437301917.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133647009457424360.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133647009439812248.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133647009458414572.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133647009435806548.jpg,https://dealerpull.blob.core.windows.net/photos-333222/img_133647009455124378.jpg"
285,JM1DKFC72H0154115,EB4115,2017,Mazda,CX-3,Touring AWD,Used,AWD,Automatic,123497,BLACK,,16500,,Alloy / Aluminum Wheels;Anti-lock Brakes / ABS;Child Safety Locks;Cruise Control;Daytime Running Lights;Driver Side Airbag;Heated Front Seats;Passenger Front Airbag Off/On;Power Adjustable Pedals;Power Door Locks;Power Windows;Rear Defrost;Remote / Keyless Entry;Spoiler;Steering Wheel Controls;Telescopic Steering Wheel;Theft Deterrent/Alarm;Tilt Steering Wheel;Traction Control;Trip Computer;Vehicle Stability Management VSM;,"https://dealerpull.blob.core.windows.net/photos-334348/img_133661251469951048.jpg,https://dealerpull.blob.core.windows.net/photos-334348/img_133661251506158715.jpg,https://dealerpull.blob.core.windows.net/photos-334348/img_133661251472196900.jpg,https://dealerpull.blob.core.windows.net/photos-334348/img_133661251503597219.jpg,https://dealerpull.blob.core.windows.net/photos-334348/img_133661251505018529.jpg,https://dealerpull.blob.core.windows.net/photos-334348/img_133661251476181669.jpg,https://dealerpull.blob.core.windows.net/photos-334348/img_133661251475061734.jpg,https://dealerpull.blob.core.windows.net/photos-334348/img_133661251473670753.jpg"
285,KM8K2CAA9KU256480,EB6480,2019,Hyundai,Kona,SEL AWD,Used,AWD,Automatic,79310,WHITE,,23500,,,"https://dealerpull.blob.core.windows.net/photos-335152/img_133661242099988759.jpg,https://dealerpull.blob.core.windows.net/photos-335152/img_133661242101071975.jpg,https://dealerpull.blob.core.windows.net/photos-335152/img_133661242123598746.jpg,https://dealerpull.blob.core.windows.net/photos-335152/img_133661242118496388.jpg,https://dealerpull.blob.core.windows.net/photos-335152/img_133661242097387268.jpg,https://dealerpull.blob.core.windows.net/photos-335152/img_133661242122224081.jpg,https://dealerpull.blob.core.windows.net/photos-335152/img_133661242128287195.jpg,https://dealerpull.blob.core.windows.net/photos-335152/img_133661242095112983.jpg,https://dealerpull.blob.core.windows.net/photos-335152/img_133661242098539364.jpg,https://dealerpull.blob.core.windows.net/photos-335152/img_133661242119908923.jpg,https://dealerpull.blob.core.windows.net/photos-335152/img_133661242121117130.jpg"
285,1C4RJFBG0EC340949,EB0949,2014,Jeep,Grand Cherokee,Limited 4WD,Used,AWD,Automatic,171910,GRAY,,15900,,Air Conditioning A/C;Alloy / Aluminum Wheels;Anti-lock Brakes / ABS;Assisted Braking;AWD;Child Safety Locks;Cruise Control;Daytime Running Lights;Driver Side Airbag;Dual Climate Control;Fog Lights;Heated Front Seats;Heated Steering Wheel;Leather Interior;Lumbar Seat Adjustment;Memory Seats;Passenger Front Airbag Off/On;Power Door Locks;Power Windows;Rear Defrost;Rear Window Wiper;Remote / Keyless Entry;Smart / Active Cornering Headlights;Spoiler;Steering Wheel Controls;Telescopic Steering Wheel;Theft Deterrent/Alarm;Tilt Steering Wheel;Tilt Steering Wheel;Traction Control;Trip Computer;Vehicle Stability Management VSM;,"https://dealerpull.blob.core.windows.net/photos-338500/img_133675274253397381.jpg,https://dealerpull.blob.core.windows.net/photos-338500/img_133675274279711766.jpg,https://dealerpull.blob.core.windows.net/photos-338500/img_133675274309165124.jpg,https://dealerpull.blob.core.windows.net/photos-338500/img_133675274342156686.jpg,https://dealerpull.blob.core.windows.net/photos-338500/img_133675274366981221.jpg,https://dealerpull.blob.core.windows.net/photos-338500/img_133675274419678661.jpg,https://dealerpull.blob.core.windows.net/photos-338500/img_133675274440257369.jpg,https://dealerpull.blob.core.windows.net/photos-338500/img_133675274467282109.jpg,https://dealerpull.blob.core.windows.net/photos-338500/img_133675274492264573.jpg,https://dealerpull.blob.core.windows.net/photos-338500/img_133675274515367254.jpg,https://dealerpull.blob.core.windows.net/photos-338500/img_133675274563360553.jpg"
285,3KPFN5A31JE255881,EB5881,2018,Kia,Forte 5-Door,SX 6M,Used,FWD,Automatic,129560,BLACK,,14900,,Anti-lock Brakes / ABS;Child Safety Locks;Cruise Control;Driver Side Airbag;Fog Lights;Heated Front Seats;Lumbar Seat Adjustment;Passenger Front Airbag Off/On;Power Windows;Telescopic Steering Wheel;,"https://dealerpull.blob.core.windows.net/photos-338511/img_133675271307665344.jpg,https://dealerpull.blob.core.windows.net/photos-338511/img_133675271358851186.jpg,https://dealerpull.blob.core.windows.net/photos-338511/img_133675271401191799.jpg,https://dealerpull.blob.core.windows.net/photos-338511/img_133675271437480006.jpg,https://dealerpull.blob.core.windows.net/photos-338511/img_133675271483764966.jpg,https://dealerpull.blob.core.windows.net/photos-338511/img_133675271628535507.jpg,https://dealerpull.blob.core.windows.net/photos-338511/img_133675271661865593.jpg,https://dealerpull.blob.core.windows.net/photos-338511/img_133675271696581292.jpg,https://dealerpull.blob.core.windows.net/photos-338511/img_133675271734539820.jpg"
285,5NMS2CAD0KH080991,EB0991,2019,Hyundai,Santa Fe,SE 2.4 AWD,Used,AWD,Automatic,135205,Red,,21900,,Power Windows;Telescopic Steering Wheel;Cruise Control;Passenger Front Airbag Off/On;Driver Side Airbag;Anti-lock Brakes / ABS;Theft Deterrent/Alarm;Child Safety Locks;,"https://dealerpull.blob.core.windows.net/photos-343329/img_133695074420038199.jpg,https://dealerpull.blob.core.windows.net/photos-343329/img_133695074472845261.jpg,https://dealerpull.blob.core.windows.net/photos-343329/img_133695074911612114.jpg,https://dealerpull.blob.core.windows.net/photos-343329/img_133695074943501049.jpg,https://dealerpull.blob.core.windows.net/photos-343329/img_133695074613776822.jpg,https://dealerpull.blob.core.windows.net/photos-343329/img_133695074533809550.jpg,https://dealerpull.blob.core.windows.net/photos-343329/img_133695074987505437.jpg,https://dealerpull.blob.core.windows.net/photos-343329/img_133695075030070061.jpg,https://dealerpull.blob.core.windows.net/photos-343329/img_133695075065614874.jpg"
285,1G1PC5SHXC7400156,EB0156,2012,Chevrolet,Cruze,2LS,Used,FWD,Automatic,129296,Gray,,5500,,Child Safety Locks;Power Door Locks;Theft Deterrent/Alarm;Anti-lock Brakes / ABS;Traction Control;Vehicle Stability Management VSM;Driver Side Airbag;Passenger Front Airbag Off/On;Remote / Keyless Entry;Air Conditioning A/C;Tilt Steering Wheel;Tilt Steering Wheel;Telescopic Steering Wheel;Trip Computer;Smart / Active Cornering Headlights;Daytime Running Lights;Power Windows;Rear Defrost;,"https://dealerpull.blob.core.windows.net/photos-345200/img_133717692959894192.jpg,https://dealerpull.blob.core.windows.net/photos-345200/img_133717692944247806.jpg,https://dealerpull.blob.core.windows.net/photos-345200/img_133717692957082087.jpg,https://dealerpull.blob.core.windows.net/photos-345200/img_133717692948039031.jpg,https://dealerpull.blob.core.windows.net/photos-345200/img_133717692946189962.jpg,https://dealerpull.blob.core.windows.net/photos-345200/img_133717692947115163.jpg,https://dealerpull.blob.core.windows.net/photos-345200/img_133717692957984906.jpg,https://dealerpull.blob.core.windows.net/photos-345200/img_133717692945234623.jpg,https://dealerpull.blob.core.windows.net/photos-345200/img_133717692958940453.jpg"
285,1C6SRFLT7KN821651,EB1651,2019,RAM,1500,Rebel Crew Cab SB 4WD,Used,4X4,Automatic,123016,Gray,,39900,,Power Windows;Alloy / Aluminum Wheels;Fog Lights;Lumbar Seat Adjustment;Cruise Control;Passenger Front Airbag Off/On;Driver Side Airbag;Anti-lock Brakes / ABS;Child Safety Locks;,"https://dealerpull.blob.core.windows.net/photos-347148/img_133717652939772223.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652944926925.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652941465432.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652960532477.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652958603142.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652972610232.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652975086799.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652942653913.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652943833064.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652957641637.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652959529427.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652961706820.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652971521763.jpg,https://dealerpull.blob.core.windows.net/photos-347148/img_133717652974144878.jpg"
285,5XYPHDA58GG184665,EB4665,2016,Kia,Sorento,EX V6 AWD,Used,AWD,Automatic,166440,White,,11900,,Child Safety Locks;Theft Deterrent/Alarm;AWD;Anti-lock Brakes / ABS;Assisted Braking;Traction Control;Vehicle Stability Management VSM;Driver Side Airbag;Passenger Front Airbag Off/On;Smart / Active Cornering Headlights;Daytime Running Lights;Fog Lights;Spoiler;Alloy / Aluminum Wheels;Rear Defrost;Rear Window Wiper;,"https://dealerpull.blob.core.windows.net/photos-347612/img_133717668022282315.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717668027925960.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717668024298165.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717668019349579.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717673876879874.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717668036302454.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717668025759562.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717673855502802.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717673857374189.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717673859094809.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717673860867859.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717673863449759.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717673875558602.jpg,https://dealerpull.blob.core.windows.net/photos-347612/img_133717673878595737.jpg"
285,1G4PP5SK9G4121677,EB1677,2016,Buick,Verano,Base,Used,FWD,Automatic,139321,Gray,,11900,,Air Conditioning A/C;Alloy / Aluminum Wheels;Anti-lock Brakes / ABS;Assisted Braking;Child Safety Locks;Cruise Control;Daytime Running Lights;Driver Side Airbag;Dual Climate Control;Nav / Navigation Package;Passenger Front Airbag Off/On;Power Windows;Rear Defrost;Remote / Keyless Entry;Smart / Active Cornering Headlights;Steering Wheel Controls;Telescopic Steering Wheel;Theft Deterrent/Alarm;Tilt Steering Wheel;Traction Control;Trip Computer;Vehicle Stability Management VSM;,"https://dealerpull.blob.core.windows.net/photos-349915/img_133732403641347956.jpg,https://dealerpull.blob.core.windows.net/photos-349915/img_133732403617613956.jpg,https://dealerpull.blob.core.windows.net/photos-349915/img_133732403646554744.jpg,https://dealerpull.blob.core.windows.net/photos-349915/img_133732403643987046.jpg,https://dealerpull.blob.core.windows.net/photos-349915/img_133732403648906133.jpg,https://dealerpull.blob.core.windows.net/photos-349915/img_133732403615579866.jpg,https://dealerpull.blob.core.windows.net/photos-349915/img_133732403610685336.jpg,https://dealerpull.blob.core.windows.net/photos-349915/img_133732403613270520.jpg,https://dealerpull.blob.core.windows.net/photos-349915/img_133732403619573975.jpg"
